ng_id,ggd_id,gnode_id,gnode_name,gnode_lat,gnode_lon,gsp_id,gsp_name,gsp_lat,gsp_lon,dc_id,dc_name,dc_lat,dc_lon,region_id,region_name,has_pv,pes_id,pes_name
228,228,228,GRUBDM,57.6198,-4.83126,228,GRUB_P,57.6198,-4.83126,,,,,296,Grudie Bridge,1,17,_P
229,229,229,HAGR,55.82997,-4.29678,229,HAGR,55.82997,-4.29678,,,,,220,Haggs Road,1,18,_N
230,230,230,HAWI,55.43296,-2.80204,230,HAWI,55.43296,-2.80204,,,,,221,Hawick,1,18,_N
231,231,231,HELE,56.02378,-4.70904,231,HELE,56.02378,-4.70904,,,,,222,Helensburgh,1,18,_N
232,232,232,HUNF,55.72213,-4.88846,232,HUER,55.72213,-4.88846,,,,,223,Hunterston Farm,1,18,_N
233,233,233,INKE,56.04232,-3.39001,233,INKE,56.04232,-3.39001,,,,,224,Inverkeithing,1,18,_N
234,234,234,INNEDM,57.45202908,-4.241401893,234,INNE_P,57.45202908,-4.241401893,,,,,297,Inverness,1,17,_P
235,235,235,JOHN,55.845,-4.50591,235,JOHN,55.845,-4.50591,,,,,225,Johnstone,1,18,_N
236,236,236,KAIMDW,55.89156,-3.16337,236,KAIM,55.89156,-3.16337,,,,,226,Kaimes,1,18,_N
237,237,237,KEITDW,57.54023,-2.93876,237,KEIT_P,57.54023,-2.93876,,,,,298,Keith,1,17,_P
238,238,238,KIINDM,56.47715,-4.32819,238,KIIN_P,56.47715,-4.32819,,,,,299,Killin,1,17,_P
239,239,239,KIER,55.9035,-4.30908,239,KIER,55.9035,-4.30908,,,,,227,Killermont,1,18,_N
240,240,240,KILS,55.575958,-4.436878,240,KILS,55.575958,-4.436878,,,,,228,Kilmarnock South,1,18,_N
241,241,241,KILT,55.59783,-4.49547,241,KILT,55.59783,-4.49547,,,,,229,Kilmarnock Town,1,18,_N
242,242,242,KILWDM,55.66523,-4.68013,242,KILW,55.66523,-4.68013,,,,,230,Kilwinning,1,18,_N
243,243,243,KILODM,56.71451,-4.95423,243,KINL_P,56.71451,-4.95423,,,,,300,Kinlochleven,1,17,_P
244,244,244,KINTDW,57.21887,-2.38083,244,KINT_P,57.21887,-2.38083,,,,,301,Kintore,1,17,_P
245,245,245,LAIRDW,58.02921,-4.41468,245,LAIR_P,58.02921,-4.41468,,,,,302,Lairg,1,17,_P
246,246,246,LEVEDW,56.19874,-3.03869,246,LEVE,56.19874,-3.03869,,,,,231,Leven,1,18,_N
247,247,247,LINMDW,55.67157,-3.82656,247,LINM,55.67157,-3.82656,,,,,232,Linnmill,1,18,_N
248,248,248,LINGDW,55.88266,-3.49274,248,LING,55.88266,-3.49274,,,,,233,Livingston East,1,18,_N
249,249,249,LUNA,56.65499,-2.86444,249,LUNA_P,56.65499,-2.86444,,,,,303,Lunanhead,1,17,_P
250,250,250,LYND,56.48132,-3.01961,250,LYND_P,56.48132,-3.01961,,,,,304,Lyndhurst,1,17,_P
251,251,251,MAYBDM,55.33702251,-4.677001696,251,MAYB,55.33702251,-4.677001696,,,,,234,Maybole,1,18,_N
252,252,252,MILCDW,56.47486,-2.9269,252,MILC_P,56.47486,-2.9269,,,,,305,Milton of Craigie,1,17,_P
253,253,253,NAIR,57.57694,-3.84607,253,NAIR_P,57.57694,-3.84607,,,,,306,Nairn,1,17,_P
254,254,254,NEAR,55.8248,-3.94613,254,NEAR,55.8248,-3.94613,,,,,235,Newarthill,1,18,_N
255,255,255,NETSDM,54.9484212,-4.491001462,255,NETS,54.9484212,-4.491001462,,,,,236,Newton Stewart,1,18,_N
256,256,256,PAIS,55.84013,-4.41366,256,PAIS,55.84013,-4.41366,,,,,237,Paisley,1,18,_N
257,257,257,PART,55.87028,-4.31639,257,PART,55.87028,-4.31639,,,,,238,Partick,1,18,_N
258,258,258,PEHS,57.473556,-1.799532,258,PEHS_P,57.473556,-1.799532,,,,,307,Peterhead Shell,1,17,_P
259,259,259,PERS,57.17446,-2.13725,259,PERS_P,57.17446,-2.13725,,,,,308,Persley,1,17,_P
260,260,260,PEHGDW,57.50944,-1.80472,260,PEHG_P,57.50944,-1.80472,,,,,309,Peterhead Grange,1,17,_P
261,261,261,PORADW,56.02837,-5.35575,261,PORA_P,56.02837,-5.35575,,,,,310,Port Ann,1,17,_P
262,262,262,PORD,55.87342,-4.2542,262,PORD,55.87342,-4.2542,,,,,239,Port Dundas,1,18,_N
263,263,263,POOBDW,55.95296,-3.12399,263,POOB,55.95296,-3.12399,,,,,240,Portobello,1,18,_N
264,264,264,RANNDM,56.69217,-4.41004,264,RANN_P,56.69217,-4.41004,,,,,311,Rannoch,1,17,_P
265,265,265,RAVE,56.145533,-3.145308,265,RAVE,56.145533,-3.145308,,,,,241,Ravenscraig,1,18,_N
266,266,266,REDHDW,56.14562,-3.14501,266,REDH,56.14562,-3.14501,,,,,242,Redhouse,1,18,_N
267,267,267,REDM,57.10803,-2.09243,267,REDM_P,57.10803,-2.09243,,,,,312,Redmoss,1,17,_P
268,268,268,SHINDW,57.94389,-4.41232,268,SHIN_P,57.94389,-4.41232,,,,,313,Shin,1,17,_P
269,269,269,SHRU,55.96433,-3.18531,269,SHRU,55.96433,-3.18531,,,,,243,Shrubhill,1,18,_N
270,270,270,SIGH,55.92867,-3.3046,270,SIGH,55.92867,-3.3046,,,,,244,Sighthill,1,18,_N
271,271,271,SLOY,56.24514,-4.73054,271,SLOY_P,56.24514,-4.73054,,,,,314,Sloy,1,17,_P
272,272,272,SPAV,55.93664,-4.81425,272,SPAV,55.93664,-4.81425,,,,,245,Spango Valley,1,18,_N
273,273,273,SFEG,57.57418,-1.84951,273,SFEG_P,57.57418,-1.84951,,,,,315,St Fergus Gas Terminal,1,17,_P
274,274,274,SFILDM,56.3946,-4.1206,274,SFIL_P,56.3946,-4.1206,,,,,316,St Fillans,1,17,_P
275,275,275,SANX,55.84403,-4.26053,275,SANX,55.84403,-4.26053,,,,,246,St Andrews Cross,1,18,_N
276,276,276,STHA,55.75309,-4.08078,276,STHA,55.75309,-4.08078,,,,,247,Strathaven,1,18,_N
277,277,277,STLE,55.96095,-4.56202,277,STLE,55.96095,-4.56202,,,,,248,Strathleven,1,18,_N
278,278,278,STRIDW,57.58682,-2.07023,278,STRI_P,57.58682,-2.07023,,,,,317,Strichen,1,17,_P
279,279,279,TARL,57.1514,-2.78839,279,TARL_P,57.1514,-2.78839,,,,,318,Tarland,1,17,_P
280,280,280,TAYNDW,56.43039,-5.21426,280,TAYN_P,56.43039,-5.21426,,,,,319,Taynuilt,1,17,_P
281,281,281,TELR,55.96161,-3.24337,281,TELR,55.96161,-3.24337,,,,,249,Telford Road,1,18,_N
282,282,282,TONGDM,54.85974,-4.03475,282,TONG,54.85974,-4.03475,,,,,250,Tongland,1,18,_N
283,283,283,TUMBDM,56.70624,-4.02375,283,TUMB_P,56.70624,-4.02375,,,,,320,Tummel Bridge,1,17,_P
284,284,284,WGEO,55.863,-4.2651,284,WGEO,55.863,-4.2651,,,,,251,West George Street,1,18,_N
285,285,285,WFIEDM,56.16384,-3.29876,285,WFIE,56.16384,-3.29876,,,,,252,Westfield,1,18,_N
286,286,286,WHHO,55.93129,-3.20176,286,WHHO,55.93129,-3.20176,,,,,253,Whitehouse,1,18,_N
287,287,287,WIOW,57.15384,-2.09751,287,WIOW_P,57.15384,-2.09751,,,,,321,Willowdale,1,17,_P
288,288,288,WOHI,57.15379,-2.14709,288,WOHI_P,57.15379,-2.14709,,,,,322,Woodhill,1,17,_P
289,289,289,DEESDM,53.23034,-3.07617,,,,,,,,,,,0,,
290,290,290,CASK,53.3421,2.7297,,,,,1,T_CASKD-1,53.3421,2.7297,,,0,,
291,291,291,CORR,54.606477,-1.116691,,,,,2,T_TODSD-1,54.606477,-1.116691,,,0,,
292,292,292,CULJ,51.6607,-1.22683,,,,,3,T__HYELT002,51.6607,-1.22683,,,0,,
293,293,293,GRTO,54.581721,-1.149598,,,,,4,M_GRTO,54.581721,-1.149598,,,0,,
294,294,294,TREM,51.48146,-3.12898,,,,,5,T__KYELT003,51.48146,-3.12898,,,0,,
295,295,295,WHSO,51.56488,-2.90742,,,,,6,T_LLWSD-1,51.56488,-2.90742,,,0,,
296,296,296,WILT,54.575826,-1.131708,,,,,7,T_WILCT-1,54.575826,-1.131708,,,0,,
297,297,297,MEAD,55.58377,-4.63817,,,,,8,T_MEADD-1,55.58377,-4.63817,,,0,,
298,298,298,MOSW,56.1055997,-3.293114,,,,,9,T_EXMOSSD-1,56.1055997,-3.293114,,,0,,
299,299,299,SFEM,57.57418,-1.84951,,,,,10,T_STFERGD-1,57.57418,-1.84951,,,0,,
300,300,300,WHTL,56.08972,-4.84166,,,,,11,T_WHISTLD-1,56.08972,-4.84166,,,0,,
301,301,301,BRL3,51.33557,-1.07584,289,BRLE_1,51.33557,-1.07584,,,,,15,Bramley,1,20,_H
302,302,302,BRL1,51.33557,-1.07584,289,BRLE_1,51.33557,-1.07584,,,,,15,Bramley,1,20,_H
303,303,303,BRL2,51.33557,-1.07584,289,BRLE_1,51.33557,-1.07584,,,,,15,Bramley,1,20,_H
304,304,304,NEW1,51.48412,-0.05792,290,NEWX_6,51.48412,-0.05792,,,,,99,New Cross,1,12,_C
305,305,305,NEWX,51.48412,-0.05792,290,NEWX_6,51.48412,-0.05792,,,,,99,New Cross,1,12,_C
306,306,306,CAPE,53.2685,-2.94786,291,CAPEA1,53.2685,-2.94786,,,,,112,Capenhurst,1,13,_D
307,307,307,INCE,53.277739,-2.811139,291,CAPEA1,53.2685,-2.94786,,,,,112,Capenhurst,1,13,_D
308,308,308,BLY1DM,55.14106,-1.53101,292,BLYTH132,55.14106,-1.53101,,,,,325,Blyth 132kV,1,15,_F
309,309,309,LINT,55.228725,-1.604966,292,BLYTH132,55.14106,-1.53101,,,,,325,Blyth 132kV,0,15,_F
310,310,310,PIT1,53.40046,-1.44215,293,PITS_3,53.40046,-1.44215,,,,,179,Pitsmoor,1,23,_M
311,311,311,PIT2,53.40046,-1.44215,293,PITS_3,53.40046,-1.44215,,,,,179,Pitsmoor,1,23,_M
312,312,312,SEL1,51.10592,0.97783,294,SELL_1,51.10592,0.97783,,,,,155,Sellindge,1,19,_J
313,313,313,SEL2,51.10592,0.97783,294,SELL_1,51.10592,0.97783,,,,,155,Sellindge,1,19,_J
314,314,314,CHS2,51.34358,-0.32112,295,CHSI_1,51.34358,-0.32112,,,,,156,Chessington,1,19,_J
315,315,315,CHS3,51.34358,-0.32112,295,CHSI_1,51.34358,-0.32112,,,,,156,Chessington,1,19,_J
316,316,316,ELS2,51.661,-0.34377,296,ELST_1,51.661,-0.34377,,,,,82,Elstree,1,10,_A
317,317,317,ELSA,51.661,-0.34377,296,ELST_1,51.661,-0.34377,,,,,82,Elstree,1,10,_A
318,318,318,STMO,51.660005,-0.342297997,296,ELST_1,51.661,-0.34377,,,,,82,Elstree,1,10,_A
319,319,319,KEM1,51.36774,0.74318,297,KEMS_1,51.36774,0.74318,,,,,157,Kemsley,1,19,_J
320,320,320,SHEE,51.436756,0.749608,297,KEMS_1,51.36774,0.74318,,,,,157,Kemsley,1,19,_J
321,321,321,TIL1,51.45976,0.3954,298,TILBB_1,51.45976,0.3954,,,,,83,Tilbury,1,10,_A
322,322,322,TIL2,51.45976,0.3954,298,TILBB_1,51.45976,0.3954,,,,,83,Tilbury,1,10,_A
323,323,323,CAR2,53.43601,-2.40573,299,CARR_1,53.43601,-2.40573,,,,,145,Carrington,1,16,_G
324,324,324,CAR1DM,53.43601,-2.40573,299,CARR_1,53.43601,-2.40573,,,,,145,Carrington,1,16,_G
325,325,325,CON1DM,53.22755,-3.07263,300,CONQA1,53.22755,-3.07263,,,,,113,Connahs Quay,1,13,_D
326,326,326,CON1DV,53.22755,-3.07263,300,CONQA1,53.22755,-3.07263,,,,,113,Connahs Quay,1,13,_D
327,327,327,NEC2,52.50647,-1.85091,301,NECE_1,52.50647,-1.85091,,,,,48,Nechells,1,14,_E
328,328,328,NEC1DM,52.50647,-1.85091,301,NECE_1,52.50647,-1.85091,,,,,48,Nechells,1,14,_E
329,329,329,COAX,55.8516,-4.01407,302,COAT,55.8516,-4.01407,,,,,254,Coatbridge,1,18,_N
330,330,330,COATDW,55.8516,-4.01407,302,COAT,55.8516,-4.01407,,,,,254,Coatbridge,1,18,_N
331,331,331,CROO,55.82121,-4.36533,303,CROO,55.82121,-4.36533,,,,,255,Crookston,1,18,_N
332,332,332,CROX,55.82121,-4.36533,303,CROO,55.82121,-4.36533,,,,,255,Crookston,1,18,_N
333,333,333,DUMX,55.06763,-3.5913,304,DUMF,55.06763,-3.5913,,,,,256,Dumfries,1,18,_N
334,334,334,DUMY,55.06763,-3.5913,304,DUMF,55.06763,-3.5913,,,,,256,Dumfries,1,18,_N
335,335,335,DUMFDW,55.06763,-3.5913,304,DUMF,55.06763,-3.5913,,,,,256,Dumfries,1,18,_N
336,336,336,GRMO,56.00463,-3.69399,305,GRMO,56.00463,-3.69399,,,,,257,Grangemouth,1,18,_N
337,337,337,GRMX,56.00463,-3.69399,305,GRMO,56.00463,-3.69399,,,,,257,Grangemouth,1,18,_N
338,338,338,KILB,55.9189,-4.41049,306,KILB,55.9189,-4.41049,,,,,258,Kilbowie,1,18,_N
339,339,339,KILX,55.930273,-4.376904,306,KILB,55.9189,-4.41049,,,,,258,Kilbowie,1,18,_N
340,340,340,SACX,55.6469,-4.79668,307,SACO,55.6469,-4.79668,,,,,259,Saltcoats,1,18,_N
341,341,341,SACODW,55.6469,-4.79668,307,SACO,55.6469,-4.79668,,,,,259,Saltcoats,1,18,_N
342,342,342,ALD1,53.44523,-1.31903,,,,,12,T__MYELT001,53.44523,-1.31903,,,0,,
343,343,343,ALD2,53.44523,-1.31903,,,,,12,T__MYELT001,53.44523,-1.31903,,,0,,
344,344,344,TIN1,53.40087,-1.39307,,,,,13,T_TINSD-1,53.40087,-1.39307,,,0,,
345,345,345,TIN2,53.40087,-1.39307,,,,,13,T_TINSD-1,53.40087,-1.39307,,,0,,
346,346,346,CRSE,53.8009731,-0.4144914,308,CREB_1,53.8009731,-0.4144914,,,,,180,Creyke Beck,1,23,_M
347,347,346,CRSE,53.8009731,-0.4144914,309,SALT_1,53.74276734,-0.238077699,,,,,181,Saltend North,1,23,_M
348,348,347,LITT,51.460622,0.244391,310,LITT_C,51.460622,0.244391,,,,,100,Littlebrook (_C),1,12,_C
349,349,347,LITT,51.460622,0.244391,311,LITT_J,51.460621,0.244394,,,,,158,Littlebrook (_J),1,19,_J
350,350,348,STAH,53.87966201,-2.989774208,312,STAH_1,53.87966201,-2.989774208,,,,,146,Stanah,1,16,_G
351,351,349,WSD6,51.53495051,-0.257050264,313,WISD_6,51.53495051,-0.257050264,,,,,101,Willesden 66kV (_C),1,12,_C
352,352,349,WSD6,51.53495051,-0.257050264,314,ACTL_C,51.53495051,-0.257050264,,,,,101,Willesden 66kV (_C),1,12,_C
353,353,349,WSD6,51.53495051,-0.257050264,315,ACTL_2,51.53495051,-0.257050264,,,,,16,Willesden 66kV (_H),1,20,_H
354,354,349,WSD6,51.53495051,-0.257050264,316,CBNK_H,51.53495051,-0.257050264,,,,,16,Willesden 66kV (_H),1,20,_H
355,355,349,WSD6,51.53495051,-0.257050264,317,GREE_H,51.53495051,-0.257050264,,,,,16,Willesden 66kV (_H),1,20,_H
356,356,349,WSD6,51.53495051,-0.257050264,318,PERI_H,51.53495051,-0.257050264,,,,,16,Willesden 66kV (_H),1,20,_H
357,357,350,AMEM,51.66424942,-0.655116209,319,AMEM_1,51.66424942,-0.655116209,,,,,84,Amersham Main,1,10,_A
358,358,350,AMEM,51.66424942,-0.655116209,320,LOUD_H,51.66424942,-0.655116209,,,,,17,Loudwater,1,20,_H
359,359,351,BRFODW,52.07018187,1.062822573,321,BRFO_1,52.07018187,1.062822573,,,,,85,Bramford,1,10,_A
360,360,352,CANT,51.29233519,1.094176117,322,CANTN1,51.29233519,1.094176117,,,,,159,Canterbury,1,19,_J
361,361,352,CANT,51.29233519,1.094176117,323,RICH1,51.30873,1.3459,,,,,160,Richborough,1,19,_J
362,362,353,NORMDW,52.57327,1.27176,324,NORM_1,52.57327,1.27176,,,,,86,Norwich Main,1,10,_A
363,363,354,WALPDM,52.72774811,0.1989261763,325,WALP_1,52.72774811,0.1989261763,,,,,87,Walpole (_A),1,10,_A
364,364,354,WALPDM,52.72774811,0.1989261763,326,WALP_B,52.72774811,0.1989261763,,,,,32,Walpole (_B),1,11,_B
365,365,355,STEL,54.97805729,-1.724488264,327,STEN_1,54.97805729,-1.724488264,,,,,130,Stella North,1,15,_F
366,366,355,STEL,54.97805729,-1.724488264,328,STES_1,54.97435217,-1.732510197,,,,,131,Stella South,1,15,_F
367,367,356,HAR1DM,54.94152557,-2.964416544,329,HARK_1,54.94152557,-2.964416544,,,,,147,Harker,1,16,_G
368,368,357,HEYSDM,54.03269168,-2.888958664,330,HEYS_1,54.03269168,-2.888958664,,,,,148,Heysham,1,16,_G
369,369,357,HEYSDM,54.03269168,-2.888958664,331,HEYS1,54.03269168,-2.888958664,,,,,148,Heysham,1,16,_G
370,370,358,CLACDM,56.27712554,-4.922002162,332,CLAC_P,56.27712554,-4.922002162,,,,,323,Clachan,1,17,_P
371,371,358,CLACDM,56.27712554,-4.922002162,333,ARDK_P,56.287166,-4.955504,,,,,324,Ardkinglas,0,17,_P
387,372,359,MELK,51.39181465,-2.150383477,334,MELK_1,51.39181465,-2.150383477,,,,,18,Melksham,1,20,_H
373,373,359,MELK,51.39181465,-2.150383477,,,,,14,T_THNJD-1,51.4341,2.1464,,,0,,
374,374,359,MELK,51.39181465,-2.150383477,,,,,15,T_THNJD-2,51.4341,2.1464,,,0,,
375,375,360,BPGR,56.01141,-3.72183,,,,,16,T_BPGRD-1,56.01141,-3.72183,,,0,,
376,376,360,BPGR,56.01141,-3.72183,,,,,17,T_BPGRD-2,56.01141,-3.72183,,,0,,
377,377,,,,,335,KNAR,54.03121063,-1.487843766,,,,,132,Knaresborough,1,15,_F
378,378,,,,,336,WYLF_1,53.413644,-4.482279,,,,,114,Wylfa,1,13,_D
379,379,,,,,337,DALM3,55.83856729,-4.208346491,,,,,260,Dalmarnock,1,18,_N
380,380,,,,,338,FINN,55.863398,-4.286086,,,,,261,Finnieston,1,18,_N
