name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
COO I T,Electrabel,,,,BE,474.0,Hydro,,,,,50.38254000000001,5.84414,22WCOOXIX000067T,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
COO II T,Electrabel,,,,BE,690.0,Hydro,,,,,50.38254000000001,5.84414,22WCOOXII000070C,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DOEL 1,Electrabel,,,,BE,445.0,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX1000076X,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DOEL 2,Electrabel,,,,BE,433.0,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX2000077N,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DOEL 3,Electrabel,,,,BE,1006.0,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX3000078D,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DOEL 4,Electrabel,,,,BE,1039.0,Nuclear,Steam turbine,,,,51.32481,4.25889,22WDOELX40000793,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DROGENBOS DM 51,Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,Fossil fuels,Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DROGENBOS DM 52,Electrabel,,,,BE,2.5,Oil,,,,,50.80244,4.30072,,Fossil fuels,Oil,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DROGENBOS GT1,Electrabel,,,,BE,150.0,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DROGENBOS GT2,Electrabel,,,,BE,150.0,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
DROGENBOS ST,Electrabel,,,,BE,160.0,Natural gas,Steam turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HERDERSBRUG STEG,Electrabel,,,,BE,465.0,Natural gas,Combined cycle,,,,51.26307,3.21121,22WHERDER0001288,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
IXELLES TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
La Vierre,Electrabel,,,,BE,1.9,Hydro,,,,,,,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Lanaken Sappi,Electrabel,,,,BE,43.0,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
LANGERBRUGGE STORA ST 1,Electrabel,,,,BE,11.0,Non-renewable waste,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
LANGERBRUGGE STORA ST 2,Electrabel,,,,BE,44.7,Non-renewable waste,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Lillo Degussa GT1,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Lillo Degussa GT2,Electrabel,,,,BE,32.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Lillo Degussa ST,Electrabel,,,,BE,10.0,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Noordschote TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Oorderen Bayer,Electrabel,,,,BE,43.0,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Oud-Lillo Monsanto,Electrabel,,,,BE,43.0,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
RODENHUIZE 4,Electrabel,,,,BE,268.0,Biomass and biogas,Steam turbine,,,,51.13421,3.77598,22WRODENH000213L,Renewable energy,Bioenergy,Biomass and biogas,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
SAINT-GHISLAIN STEG,Electrabel,,,,BE,350.0,Natural gas,Combined cycle,,,,50.47167,3.82521,22WSAINT-000221B,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Schaerbeek Siomab ST1,Electrabel,,,,BE,15.0,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Schaerbeek Siomab ST2,Electrabel,,,,BE,15.0,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Schaerbeek Siomab ST3,Electrabel,,,,BE,15.0,Non-renewable waste,Steam turbine,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Scheldelaan Exxonmobil,Electrabel,,,,BE,140.0,Natural gas,,Yes,,CHP/IPP,,,22WSCHELD0002261,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
TIHANGE 1N,Electrabel,,,,BE,481.0,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000239G,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
TIHANGE 1S,Electrabel,,,,BE,481.0,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000240V,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
TIHANGE 2,Electrabel,,,,BE,1008.0,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000241T,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
TIHANGE 3,Electrabel,,,,BE,1038.0,Nuclear,Steam turbine,,,,50.53464,5.27121,22WTIHANG000242R,Nuclear,,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Turon TJ,Electrabel,,,,BE,18.6,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
VILVOORDE GT,Electrabel,,,,BE,255.0,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Wilmarsdonk Total GT1,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Wilmarsdonk Total GT2,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Wilmarsdonk Total GT3,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Wilrijk Isvag,Electrabel,,,,BE,12.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zandvliet Power,Electrabel,,,,BE,386.2,Natural gas,Combined cycle,,,,51.36977,4.26667,22WZANDVL000255D,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zedelgem TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zeebrugge 2 Fluxys,Electrabel,,,,BE,40.0,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zeebrugge TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,,,,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zelzate 2 Knippegroen,Electrabel,,,,BE,315.0,Mixed fossil fuels,Steam turbine,,,,51.15861,3.80746,22WZELZAT0002618,Fossil fuels,Mixed fossil fuels,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zelzate TJ,Electrabel,,,,BE,18.0,Oil,Gas turbine,,,,51.15879,3.80815,22WZELZAT0002618,Fossil fuels,Oil,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zwijndrecht Lanxess GT,Electrabel,,,,BE,43.0,Natural gas,Gas turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Zwijndrecht Lanxess ST,Electrabel,,,,BE,15.0,Natural gas,Steam turbine,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Electrawinds biomassa Oostende,Electrawinds Distributie,,,,BE,18.0,Non-renewable waste,,Yes,,CHP/IPP,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Greenpower Oostende,Electrawinds Distributie,,,,BE,20.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Eurosilo,Lampiris,,,,BE,12.9,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Incinerateur THUMAIDE (IPALLE),Lampiris,,,,BE,34.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Intradel Herstal,Lampiris,,,,BE,34.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
IVBO,Lampiris,,,,BE,16.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
PLATE-TAILLE T,Lampiris,,,,BE,144.0,Hydro,,,,,,,22WPLATEX000208N,Renewable energy,Hydro,,,Basin,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
ANGLEUR TG 41,Luminus,,,,BE,64.0,Natural gas,Gas turbine,,,,50.61775,5.5826699999999985,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
ANGLEUR TG 42,Luminus,,,,BE,64.0,Natural gas,Gas turbine,,,,50.61775,5.5826699999999985,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
ANGLEUR TG31,Luminus,,,,BE,25.0,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
ANGLEUR TG32,Luminus,,,,BE,25.0,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Beveren 2 Indaver,Luminus,,,,BE,21.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Beveren 3 Indaver,Luminus,,,,BE,24.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Beveren Sleco,Luminus,,,,BE,41.0,Non-renewable waste,,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
EDF Luminus Izegem WKK,Luminus,,,,BE,20.0,Natural gas,,Yes,,CHP/IPP,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
EDF Luminus Seraing GT1,Luminus,,,,BE,150.0,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
EDF Luminus Seraing GT2,Luminus,,,,BE,150.0,Natural gas,Gas turbine,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HAM31,Luminus,,,,BE,58.0,Natural gas,Gas turbine,,,,51.05942,3.73646,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HAM32,Luminus,,,,BE,58.0,Natural gas,Gas turbine,,,,51.05942,3.73646,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU AMPSIN-NEUVILLE,Luminus,,,,BE,9.9,Hydro,,,,,50.53381,5.29636,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU ANDENNE,Luminus,,,,BE,9.0,Hydro,,,,,50.49179,5.06975,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU FLORIFFOUX,Luminus,,,,BE,0.8,Hydro,,,,,50.44663,4.77389,,Renewable energy,Hydro,,,NoMetering,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU GRAND-MALADES,Luminus,,,,BE,5.0,Hydro,,,,,50.46595,4.89928,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU IVOZ-RAMET,Luminus,,,,BE,10.0,Hydro,,,,,50.59349,5.46137,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU LIXHE,Luminus,,,,BE,20.0,Hydro,,,,,50.75178,5.6878,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
HU MONSIN,Luminus,,,,BE,19.7,Hydro,,,,,50.65317,5.63137,,Renewable energy,Hydro,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Jemeppe-sur-Sambre GT1,Luminus,,,,BE,48.0,Natural gas,Gas turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Jemeppe-sur-Sambre GT2,Luminus,,,,BE,48.0,Natural gas,Gas turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Jemeppe-sur-Sambre ST,Luminus,,,,BE,10.0,Natural gas,Steam turbine,,,,50.44746,4.66339,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
RINGVAART STEG,Luminus,,,,BE,385.0,Natural gas,Combined cycle,,,,51.10496,3.72567,22WRINGVA000209C,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
SERAING TV,Luminus,,,,BE,170.0,Natural gas,,,,,,,,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
Biostoom Oostende,RWE Supply & Trading,,,,BE,19.4,Non-renewable waste,Combined cycle,,,,,,,Fossil fuels,Non-renewable waste,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
INESCO WKK,RWE Supply & Trading,,,,BE,138.0,Natural gas,Combined cycle,Yes,,CHP/IPP,51.24256,4.32481,22WINESCO000149P,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
T-power Beringen,T-Power,,,,BE,422.0,Natural gas,Combined cycle,,,,,,22WT-POWE000244W,Fossil fuels,Natural gas,,,,https://www.elia.be/en/grid-data/power-generation/generating-facilities#
AL-1,NUON,Marketkant 12-10,1341AK,Almere,NL,62.0,Natural gas,,,,,52.38811,5.2154,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
AL-2,NUON,Markerkant 12-10,1341AK,Almere,NL,55.0,Natural gas,,,,,52.38811,5.2154,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Amercentrale (A8),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,645.0,Hard coal,Steam turbine,,,,51.70838,4.84381,49W000000000070Z,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Amercentrale (A9),ESSENT ENERGY TRADING B.V.,Amerweg .,4931NC,Geertruidenberg,NL,640.0,Hard coal,Steam turbine,,,,51.70838,4.84381,49W000000000070Z,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Amylum,AMYLUM NEDERLAND B.V.,Lagedijk 5,1541KA,Koog aan de Zaan,NL,7.0,Natural gas,,,,,52.46552,4.81361,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
BOZ,ESSENT ENERGY TRADING B.V.,Moervaart 1,4622RR,Bergen op Zoom,NL,33.0,Natural gas,,,,,51.50555,4.3399800000000015,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Borssele 30,DELTA ENERGY B.V.,Zeedijk 32,4454PM,Borssele,NL,492.0,Nuclear,Steam turbine,,,,51.43148,3.71871,49W000000000054X,Nuclear,,,,,https://www.tennet.org/english/operational_management/export_data.aspx
CUIJK,ESSENT ENERGY TRADING B.V.,Lange Ooijen 31,5433NG,Katwijk (NB),NL,25.0,Hard coal,Steam turbine,,,,51.75381,5.8528,,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Bergum (CB10),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72.0,Natural gas,,,,,53.20975,6.02959,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Bergum (CB20),ELECTRABEL NEDERLAND NV,Koumarwei 2,9251ML,Bergum,NL,72.0,Natural gas,,,,,53.20975,6.02959,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Diemen (DM33),NUON,Overdiemerweg 35,1111PP,Diemen,NL,249.0,Natural gas,,,,,52.33898,5.02134,49W0000000000431,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Diemen (DM34),VATTENFALL ENERGY TRADING,Overdiemerweg 35,1111PP,Diemen,NL,435.0,Natural gas,,,,,52.33898,5.02134,49W0000000000431,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Galileistraat (FG1),EON BENELUX,Galileistraat 15,3029AL,Rotterdam,NL,0.0,Natural gas,,,,,51.91025,4.426080000000002,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Gelderland (CG13),ELECTRABEL NEDERLAND NV,Weurtseweg 460,6541BE,Nijmegen,NL,0.0,Hard coal,Steam turbine,,,,51.85607,5.8304300000000016,49W000000000076N,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Harculo (HC60),ELECTRABEL NEDERLAND NV,IJsselcentraleweg 6,8015PA,Zwolle,NL,0.0,Natural gas,,,,,52.46907,6.10767,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Hemweg (HW-7),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,585.0,Natural gas,,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Hemweg (HW-8),NUON,Petroliumhavenweg 1,1041AB,Amsterdam,NL,650.0,Hard coal,Steam turbine,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Hemweg (HW-9),NUONENW,Nieuwe Hemweg 25,1041AA,Amsterdam,NL,432.0,Natural gas,,,,,52.40537,4.84482,49W000000000045Y,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale IJmond,NUON,Hoflaan 1,1951HJ,Velsen,NL,144.0,Other or unspecified energy sources,,,,,52.47155,4.63473,,Other or unspecified energy sources,,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Lage Weide,NUON,Atoomweg 7-9,3542AA,Utrecht,NL,247.0,Natural gas,,,,,52.10292000000001,5.07137,49W000000000047U,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Maasvlakte (MV1),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,0.0,Hard coal,Steam turbine,,,,51.96262,4.02152,49W000000000101D,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Maasvlakte (MV2),EON BENELUX,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,NL,0.0,Hard coal,Steam turbine,,,,51.96262,4.02152,49W000000000100F,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Maasvlakte (MV3),EON BENELUX,Europaweg 911,3199LD,Maasvlakte Rotterdam,NL,1068.0,Hard coal,Steam turbine,,,,51.96262,4.02152,49W000000000102B,Fossil fuels,Hard coal,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Merwedekanaal,NUON,Keulsekade 181,3534AC,Utrecht,NL,227.0,Natural gas,,,,,52.10156,5.07981,49W000000000091R,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale RoCa (RoCa3),EON BENELUX,Capelseweg 400,3068AX,Rotterdam,NL,218.0,Natural gas,,,,,51.95366,4.56155,49W0000000001047,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Swentibold,ESSENT ENERGY TRADING B.V.,Kampstraat 101,6163HE,Geleen,NL,225.0,Natural gas,,,,,50.97971,5.80891,49W000000000061-,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Velsen (VN24),NUON,Hoflaan 1,1951HJ,Velsen,NL,459.0,Natural gas,,,,,52.47155,4.63473,49W000000000046W,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Centrale Velsen (VN25),NUON,Hoflaan 1,1951HJ,Velsen,NL,375.0,Natural gas,,,,,52.47155,4.63473,49W000000000046W,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Clauscentrale (A),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,640.0,Natural gas,,,,,51.15409,5.90803,49W000000000069K,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Clauscentrale (C1),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,51.15409,5.90803,49W000000000069K,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Clauscentrale (C2),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,51.15409,5.90803,49W000000000069K,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Clauscentrale (C3),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,310.0,Natural gas,,,,,51.15409,5.90803,49W000000000069K,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Clauscentrale (C4),ESSENT ENERGY TRADING B.V.,Voortstraat 19,6051JP,Maasbracht,NL,510.0,Other or unspecified energy sources,,,,,51.15409,5.90803,49W000000000069K,Other or unspecified energy sources,,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Delesto (Del1),ESSENT ENERGY TRADING B.V.,Oosterhorn 4,9936HD,Farmsum,NL,180.0,Natural gas,,,,,53.31953000000001,6.948110000000002,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Delesto (Del2),ESSENT ENERGY TRADING B.V.,Oosterhorn 4,9936HD,Farmsum,NL,350.0,Natural gas,,,,,53.31953000000001,6.948110000000002,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
Dongecentrale,ESSENT ENERGY TRADING B.V.,Centraleweg 12,4931NB,Geertruidenberg,NL,0.0,Natural gas,,,,,51.695,4.84652,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
EDH,EON BENELUX,De Constant Rebecqueplein 20,2518RA,Den Haag,NL,112.0,Natural gas,,,,,52.07659,4.29065,49W0000000000342,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
EHV,ESSENT ENERGY TRADING B.V.,Beukenlaan 2A,5651CD,Eindhoven,NL,0.0,Natural gas,,,,,51.44944,5.45296,,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
ELSTA,DELTA ENERGY B.V.,Herbert H. Dowweg 5D,4542NM,Hoek,NL,456.0,Natural gas,,,,,51.33319,3.78947,49W000000000048S,Fossil fuels,Natural gas,,,,https://www.tennet.org/english/operational_management/export_data.aspx
